size,subject,layer,shape,mean_r,median_r,std_r,min_r,max_r,nan_count,inf_count,zero_ratio,positive_ratio,file
30B,8,44,"(10242,)",0.13762796088770737,0.1496243203044856,0.04437928075952801,-0.1543643162168212,0.1956550564669962,0,0,0.0,0.9634836945909002,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer44/base_subj8_corrlh.npy
30B,4,45,"(10242,)",-0.006277238954980511,-0.007376808229167199,0.009633283899965329,-0.09865381422193717,0.13455840101996985,0,0,0.0,0.10251903925014645,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer45/base_subj4_corrlh.npy
30B,5,45,"(10242,)",0.04298538649961726,0.05232321136981815,0.03442536949772962,-0.2050467191065204,0.2518745402594568,0,0,0.0,0.9063659441515329,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer45/base_subj5_corrlh.npy
30B,6,45,"(10242,)",-0.013249094928659316,-0.014148149349851591,0.005053575787074845,-0.03801930423041412,0.059511606737915085,0,0,0.0,0.03348955282171451,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer45/base_subj6_corrlh.npy
30B,7,45,"(10242,)",0.007645929659510798,0.008821855381162178,0.010997217393958664,-0.3686863145416842,0.10156133803387829,0,0,0.0,0.9255028314782269,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer45/base_subj7_corrlh.npy
30B,8,45,"(10242,)",0.0843343612976475,0.09431112089814686,0.03713550277933714,-0.17110468387952668,0.18763378237027434,0,0,0.0,0.9519625073227885,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer45/base_subj8_corrlh.npy
30B,4,46,"(10242,)",0.0934379526672721,0.10181687329060582,0.03335212233612775,-0.20752651372451955,0.19552077421034184,0,0,0.0,0.9690490138644796,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer46/base_subj4_corrlh.npy
30B,5,46,"(10242,)",0.08387404220090058,0.0947622586697487,0.03813416301063435,-0.2226508610976388,0.258479050690017,0,0,0.0,0.9529388791251708,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer46/base_subj5_corrlh.npy
30B,6,46,"(10242,)",0.03526059069734823,0.03789202770713338,0.014999809909327918,-0.12563335535432682,0.14977984123300273,0,0,0.0,0.963386057410662,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer46/base_subj6_corrlh.npy
30B,7,46,"(10242,)",0.07727999968829082,0.08060846930455891,0.02129226773651882,-0.2148746682706497,0.1996509363118645,0,0,0.0,0.9852567857840265,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer46/base_subj7_corrlh.npy
